 timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares,data_channel,weekday
731.0,12.0,219.0,0.663594466988,0.999999992308,0.815384609112,4.0,2.0,1.0,0.0,4.6803652968,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,496.0,496.0,0.500331204081,0.378278929586,0.0400046751006,0.0412626477296,0.0401225435029,0.521617145481,0.0925619834711,0.0456621004566,0.013698630137,0.769230769231,0.230769230769,0.378636363636,0.1,0.7,-0.35,-0.6,-0.2,0.5,-0.1875,0.0,0.1875,593,1,0
731.0,9.0,255.0,0.604743080614,0.999999993289,0.79194630341,3.0,1.0,1.0,0.0,4.9137254902,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799755687423,0.0500466753998,0.0500962518137,0.0501006734234,0.0500007119405,0.341245791246,0.148947811448,0.043137254902,0.0156862745098,0.733333333333,0.266666666667,0.286914600551,0.0333333333333,0.7,-0.11875,-0.125,-0.1,0.0,0.0,0.5,0.0,711,2,0
731.0,9.0,211.0,0.575129530699,0.999999991597,0.66386554064,3.0,1.0,1.0,0.0,4.39336492891,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,918.0,918.0,0.217792288518,0.033334456999,0.0333514249339,0.0333335358046,0.682188293744,0.702222222222,0.323333333333,0.0568720379147,0.00947867298578,0.857142857143,0.142857142857,0.495833333333,0.1,1.0,-0.466666666667,-0.8,-0.133333333333,0.0,0.0,0.5,0.0,1500,2,0
731.0,9.0,531.0,0.503787877834,0.999999996904,0.665634672862,9.0,0.0,1.0,0.0,4.40489642185,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285732164707,0.419299641782,0.49465082574,0.0289047184252,0.0285715975818,0.42984968735,0.100704665705,0.0414312617702,0.0207156308851,0.666666666667,0.333333333333,0.385965171192,0.136363636364,0.8,-0.369696969697,-0.6,-0.166666666667,0.0,0.0,0.5,0.0,1200,1,0
731.0,13.0,1072.0,0.41564561695,0.999999998565,0.540889525766,19.0,19.0,20.0,0.0,4.6828358209,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,3151.15789474,0.0286328101715,0.0287935517322,0.0285751849112,0.028571675324,0.885426777861,0.513502122877,0.281003475691,0.0746268656716,0.0121268656716,0.860215053763,0.139784946237,0.411127435065,0.0333333333333,1.0,-0.220192307692,-0.5,-0.05,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,505,4,0
731.0,10.0,370.0,0.559888577828,0.999999995495,0.698198195053,2.0,2.0,0.0,0.0,4.35945945946,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,8500.0,8500.0,0.0222452755449,0.306717575824,0.0222312775078,0.0222242903103,0.626581580813,0.437408648699,0.0711841921519,0.0297297297297,0.027027027027,0.52380952381,0.47619047619,0.350609996065,0.136363636364,0.6,-0.195,-0.4,-0.1,0.642857142857,0.214285714286,0.142857142857,0.214285714286,855,4,0
731.0,8.0,960.0,0.418162618355,0.999999998339,0.54983388613,21.0,20.0,20.0,0.0,4.65416666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,3151.15789474,0.0200816655822,0.114705387413,0.0200243688545,0.0200153281713,0.825173249979,0.514480300844,0.268302724212,0.0802083333333,0.0166666666667,0.827956989247,0.172043010753,0.402038567493,0.1,1.0,-0.224479166667,-0.5,-0.05,0.0,0.0,0.5,0.0,556,0,0
731.0,12.0,989.0,0.433573634981,0.999999998415,0.572107764545,20.0,20.0,20.0,0.0,4.61779575329,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,16000.0,3151.15789474,0.0222243573751,0.150732973266,0.243435475507,0.0222236031538,0.561383590699,0.543474234099,0.298613469863,0.0839231547017,0.0151668351871,0.84693877551,0.15306122449,0.427720492359,0.1,1.0,-0.242777777778,-0.5,-0.05,1.0,0.5,0.5,0.5,891,4,0
731.0,11.0,97.0,0.670103085875,0.999999979592,0.836734676801,2.0,0.0,0.0,0.0,4.85567010309,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458250415016,0.0289794309233,0.0286618834452,0.0296958587737,0.454412411842,0.538888888889,0.161111111111,0.0309278350515,0.020618556701,0.6,0.4,0.566666666667,0.4,0.8,-0.125,-0.125,-0.125,0.125,0.0,0.375,0.0,3600,4,0
731.0,10.0,231.0,0.636363633609,0.999999992754,0.797101443499,4.0,1.0,1.0,1.0,5.09090909091,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400000958117,0.0400000263554,0.839997207202,0.0400006328035,0.0400020378274,0.313888888889,0.0518518518519,0.038961038961,0.030303030303,0.5625,0.4375,0.298412698413,0.1,0.5,-0.238095238095,-0.5,-0.1,0.0,0.0,0.5,0.0,710,5,0
